# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	27887
#@/user_id	nixos-ysun
bu jiu 	補救	c=1 d=0.366045 t=27887
bu ka 	不卡	c=1 d=0.88692 t=27887
bu kai 	不開	c=0 d=0.0937067 t=27887
bu kai qi 	不開啓	c=1 d=0.970446 t=27887
bu kai xin 	不開心	c=2 d=1.14436 t=27887
bu kan 	不看	c=1 d=0.88692 t=27887
bu kao pu 	不靠譜	c=1 d=0.927743 t=27887
bu ke 	不可	c=2 d=1.18866 t=27887
bu ke neng 	不可能	c=1 d=0.869358 t=27887
bu ke xue 	不科學	c=1 d=0.882497 t=27887
bu ke yi 	不可以	c=1 d=0.600496 t=27887
bu ke yong 	不可用	c=3 d=1.99153 t=27887
bu ke yu ce 	不可預測	c=2 d=0.45922 t=27887
bu kui shi 	不愧是	c=2 d=1.84771 t=27887
bu le 	不了	c=4 d=2.39973 t=27887
bu li 	不利	c=0 d=0.0798516 t=27887
bu li jie 	不理解	c=2 d=1.16072 t=27887
bu li wo 	不理我	c=1 d=0.307279 t=27887
bu li xiao xi 	不利消息	c=1 d=0.802519 t=27887
bu liao jie 	不瞭解	c=1 d=0.71177 t=27887
bu liu zhe 	不留着	c=1 d=0.778801 t=27887
bu mai 	不買	c=1 d=0.609571 t=27887
bu man yi 	不滿意	c=0 d=0.0873716 t=27887
bu men 	部門	c=1 d=0.224249 t=27887
bu mian fei 	不免費	c=1 d=0.852144 t=27887
bu ming bai 	不明白	c=3 d=1.581 t=27887
bu na 	不拿	c=1 d=0.873716 t=27887
bu neng 	不能	c=13 d=3.20108 t=27887
bu neng yong 	不能用	c=1 d=0.733447 t=27887
bu pa 	不怕	c=1 d=0.704688 t=27887
bu pai chu 	不排除	c=1 d=0.625002 t=27887
bu qi 	不起	c=0 d=0.0955612 t=27887
bu qi 	補齊	c=1 d=0.937067 t=27887
bu qi yong 	不起用	c=1 d=0.927743 t=27887
bu qing chu 	不清楚	c=1 d=0.865022 t=27887
bu qing kong 	不清空	c=1 d=0.582748 t=27887
bu qu 	不去	c=5 d=2.51346 t=27887
bu que ding 	不確定	c=8 d=1.32447 t=27887
bu ran 	不然	c=8 d=1.74082 t=27887
bu ren tong 	不認同	c=2 d=0.977293 t=27887
bu ren wei 	不認爲	c=2 d=1.18202 t=27887
bu rong yi 	不容易	c=1 d=0.718924 t=27887
bu ru 	不如	c=16 d=5.4976 t=27887
bu shan 	不刪	c=1 d=0.88692 t=27887
bu shang 	不上	c=0 d=0.0831104 t=27887
bu shang 	補上	c=1 d=0.606531 t=27887
bu shang qu 	不上去	c=1 d=0.960789 t=27887
bu shen 	不慎	c=0 d=0.0142987 t=27887
bu shen yi shi 	不慎遺失	c=1 d=0.143704 t=27887
bu sheng xiao 	不生效	c=5 d=3.16736 t=27887
bu shi 	不是	c=77 d=7.12189 t=27887
bu shi 	不時	c=0 d=0.083527 t=27887
bu shi he 	不適合	c=3 d=1.59547 t=27887
bu shi huo 	不識貨	c=1 d=0.763379 t=27887
bu shu 	部署	c=5 d=2.26152 t=27887
bu shu fu 	不舒服	c=1 d=0.631284 t=27887
bu shui jiao 	不睡覺	c=0 d=0.0733447 t=27887
bu shuo 	不說	c=1 d=0.339596 t=27887
bu tai 	不太	c=6 d=2.03159 t=27887
bu tai hui 	不太會	c=1 d=0.287941 t=27887
bu tai xiang 	不太想	c=1 d=0.878095 t=27887
bu tai xing 	不太行	c=1 d=0.349938 t=27887
bu ti gong 	不提供	c=1 d=0.140156 t=27887
bu ting 	不停	c=0 d=0.0748264 t=27887
bu ting ji qie huan 	不停機切換	c=1 d=0.752014 t=27887
bu tong 	不同	c=4 d=1.6268 t=27887
bu wan 	不玩	c=0 d=0.0771052 t=27887
bu wan shan 	不完善	c=1 d=0.597501 t=27887
bu wan zheng 	不完整	c=1 d=1 t=27887
bu wei kong 	不爲空	c=1 d=0.852144 t=27887
bu xi huan 	不喜歡	c=6 d=3.18702 t=27887
bu xi wang 	不希望	c=3 d=1.54109 t=27887
bu xia qu 	不下去	c=0 d=0.0683861 t=27887
bu xian shi 	不顯示	c=5 d=1.8333 t=27887
bu xiang 	不像	c=6 d=2.5835 t=27887
bu xiang 	不想	c=4 d=1.3457 t=27887
bu xiang xin 	不相信	c=1 d=0.66365 t=27887
bu xiang yao 	不想要	c=1 d=0.831104 t=27887
bu xiao hao 	不消耗	c=1 d=0.600496 t=27887
bu xiao xin 	不小心	c=4 d=2.33097 t=27887
bu xin 	不信	c=2 d=1.38712 t=27887
bu xing 	不行	c=31 d=8.29766 t=27887
bu xiu xi 	不休息	c=1 d=0.45612 t=27887
bu xu yao 	不需要	c=28 d=4.95495 t=27887
bu xun chang 	不尋常	c=1 d=0.634448 t=27887
bu yao 	不要	c=24 d=3.25147 t=27887
bu yao lian 	不要臉	c=1 d=0.980199 t=27887
bu yao qiu 	不要求	c=1 d=0.729789 t=27887
bu yao xie 	不要寫	c=1 d=0.755784 t=27887
bu ye shi 	不也是	c=1 d=0.166127 t=27887
bu yi ding 	不一定	c=1 d=0.0802519 t=27887
bu yi ding dui 	不一定對	c=1 d=0.806541 t=27887
bu yi lai 	不依賴	c=2 d=1.01833 t=27887
bu yi yang 	不一樣	c=3 d=1.65464 t=27887
bu ying gai 	不應該	c=3 d=1.6626 t=27887
bu ying xiang 	不影響	c=2 d=0.847894 t=27887
bu yong 	不用	c=21 d=4.11291 t=27887
bu yong bai bu yong 	不用白不用	c=2 d=1.68222 t=27887
bu yong bian 	不用變	c=1 d=0.690734 t=27887
bu yue 	不約	c=1 d=0.882497 t=27887
